respondent_id,survey_year,country,age,gender,education_level,years_of_experience,role,employment_status,company_size,work_mode,coding_hours_per_week,annual_salary_usd,job_satisfaction,career_satisfaction,primary_os,languages_used,frameworks_used,databases_used,cloud_platforms_used,ide_editor,ai_tools_used,ai_usage_frequency,ai_productivity_boost_pct,ai_sentiment,ai_job_threat_perception,primary_learning_source,open_source_contributor,looking_for_job,remote_work_preference_1to5,burnout_frequency,want_to_learn_next
R00001,2024,India,43,Man,Some college,22,Front-End Developer,Unemployed,1-10,Hybrid,12,3700,1,4,macOS,Swift;JavaScript;Python;HTML/CSS;SQL;Kotlin,Node.js;Ruby on Rails,PostgreSQL;Firebase Realtime DB;SQLite;Neo4j,AWS;Cloudflare;Hetzner,Zed,,Weekly,14,Somewhat positive,Minimal threat,Online courses,1,Actively looking,2,Sometimes,Elixir;Zig;AI/ML
R00002,2025,Italy,28,Man,Master's degree,7,Machine Learning Engineer,Unemployed,201-1000,Remote,26,9660,3,4,macOS,Python;HTML/CSS;Java,FastAPI,PostgreSQL;SQLite;MongoDB;MySQL,Cloudflare,Zed;Visual Studio;IntelliJ IDEA,,Weekly,8,Somewhat positive,Minimal threat,Stack Overflow,1,Not looking,4,Often,Kubernetes;Elixir;Go
R00003,2021,South Africa,23,Woman,Master's degree,0,Machine Learning Engineer,Full-time,1001-5000,In-Office,43,26200,4,2,Linux,Swift;Python;Java;JavaScript;Bash/Shell;SQL,Spring Boot,DynamoDB,Google Cloud;Railway,VS Code;Visual Studio,ChatGPT,Rarely,1,Very negative,Significant threat,YouTube,0,Open to offers,5,Often,Go
R00004,2023,India,22,Prefer not to say,Bachelor's degree,1,QA / Test Engineer,Unemployed,10000+,Hybrid,27,0,5,2,Linux,Python;JavaScript;TypeScript,Express,PostgreSQL;Oracle;Supabase,DigitalOcean;Netlify;Vercel,Vim/Neovim;VS Code,,Multiple times daily,61,Neutral,Minimal threat,Stack Overflow,1,Open to offers,3,Rarely,HTMX;Swift;Rust
R00005,2025,United States,34,Man,Bachelor's degree,11,Front-End Developer,Full-time,51-200,Remote,25,172100,3,4,Windows,C++;JavaScript;Scala;TypeScript,Django;.NET;Vue.js;Next.js;React,Firebase Realtime DB;SQLite;Redis;ClickHouse,Cloudflare;Vercel,VS Code;Vim/Neovim;Visual Studio,,Weekly,15,Neutral,Moderate threat,Official docs,0,Open to offers,1,Sometimes,TypeScript
R00006,2021,India,33,Man,Bachelor's degree,15,Front-End Developer,Full-time,51-200,In-Office,29,14900,4,4,Windows,JavaScript;C;Python;SQL,React;Node.js;Laravel;Express;Flutter,SQLite;Microsoft SQL Server;PostgreSQL,Heroku,WebStorm;Visual Studio,,Daily,36,Very positive,Significant threat,Stack Overflow,0,Not looking,3,Sometimes,Kubernetes;TypeScript
R00007,2022,China,29,Man,Bachelor's degree,13,Cloud Engineer,Full-time,1001-5000,Hybrid,27,45200,1,5,Linux,PHP;Bash/Shell;SQL;Python,Spring Boot;htmx;Tailwind CSS;Bootstrap,MySQL,AWS;Azure,VS Code;Cursor,,Monthly,8,Somewhat positive,Minimal threat,Official docs,0,Not looking,5,Often,AI/ML;Go
R00008,2022,India,31,Man,Bachelor's degree,12,Full-Stack Developer,Full-time,51-200,Remote,34,16200,5,4,Windows,C;Kotlin;Bash/Shell;SQL;JavaScript,FastAPI;React,Microsoft SQL Server,AWS;Azure,VS Code;Vim/Neovim,,Multiple times daily,16,Neutral,No threat,Books,1,Not looking,5,Often,Kotlin;Swift;Kubernetes
R00009,2025,United States,46,Man,Bachelor's degree,26,Front-End Developer,Full-time,201-1000,Hybrid,40,245100,4,5,macOS,JavaScript,Flask;Next.js;TensorFlow,Redis;PostgreSQL;Supabase;MySQL,AWS,Visual Studio;IntelliJ IDEA;VS Code,ChatGPT,Weekly,26,Somewhat positive,Will replace most devs,YouTube,0,Not looking,5,Often,Swift;HTMX
R00010,2020,Indonesia,37,Man,Self-taught / Bootcamp,11,Front-End Developer,Full-time,1001-5000,In-Office,45,17900,2,4,Windows,C#;Rust;HTML/CSS,Vue.js;Bootstrap,DynamoDB;PostgreSQL;CockroachDB;MariaDB,DigitalOcean;Vercel,Android Studio;Xcode;VS Code,ChatGPT;Cursor AI,Weekly,19,Very negative,Significant threat,ChatGPT/AI,1,Actively looking,4,Rarely,Rust;Kotlin;Go
R00011,2021,Pakistan,20,Prefer not to say,Master's degree,0,Embedded Developer,Student,5001-10000,Hybrid,12,0,4,3,macOS,SQL;JavaScript,Django;Flask;Angular;Next.js,PostgreSQL;Microsoft SQL Server,Azure;DigitalOcean,WebStorm;PyCharm;Vim/Neovim,Cursor AI;ChatGPT;Claude,Never,9,Somewhat positive,Moderate threat,Colleagues,0,Not looking,2,Always,Rust
R00012,2026,United States,36,Woman,Master's degree,16,QA / Test Engineer,Full-time,11-50,In-Office,33,211500,3,4,macOS,SQL;Go;Python;JavaScript,TensorFlow;Tailwind CSS;NestJS,Firebase Realtime DB;PostgreSQL,Fly.io,Sublime Text;IntelliJ IDEA,ChatGPT,Multiple times daily,36,Very positive,No threat,Stack Overflow,0,Not looking,5,Rarely,Elixir;Zig;HTMX
